year,city,country,avg_temp,5Y MA,10Y MA
1753,Lisbon,Portugal,15.52,,
1754,Lisbon,Portugal,15.63,,
1755,Lisbon,Portugal,15.33,,
1756,Lisbon,Portugal,15.68,,
1757,Lisbon,Portugal,15.56,15.544,
1758,Lisbon,Portugal,14.18,15.276,
1759,Lisbon,Portugal,15.28,15.206,
1760,Lisbon,Portugal,14.72,15.084,
1761,Lisbon,Portugal,15.59,15.066,
1762,Lisbon,Portugal,15.55,15.064,15.304
1763,Lisbon,Portugal,14.74,15.176,15.226
1764,Lisbon,Portugal,15.54,15.228,15.217
1765,Lisbon,Portugal,15.59,15.402,15.243
1766,Lisbon,Portugal,15.48,15.38,15.223
1767,Lisbon,Portugal,15.63,15.396,15.23
1768,Lisbon,Portugal,14.72,15.392,15.284
1769,Lisbon,Portugal,15.31,15.346,15.287
1770,Lisbon,Portugal,15.16,15.26,15.331
1771,Lisbon,Portugal,15.64,15.292,15.336
1772,Lisbon,Portugal,16.08,15.382,15.389
1773,Lisbon,Portugal,15.27,15.492,15.442
1774,Lisbon,Portugal,15.99,15.628,15.487
1775,Lisbon,Portugal,16.08,15.812,15.536
1776,Lisbon,Portugal,15.52,15.788,15.54
1777,Lisbon,Portugal,15.37,15.646,15.514
1778,Lisbon,Portugal,15.63,15.718,15.605
1779,Lisbon,Portugal,15.78,15.676,15.652
1780,Lisbon,Portugal,16.38,15.736,15.774
1781,Lisbon,Portugal,15.74,15.78,15.784
1782,Lisbon,Portugal,14.95,15.696,15.671
1783,Lisbon,Portugal,15.26,15.622,15.67
1784,Lisbon,Portugal,15.3,15.526,15.601
1785,Lisbon,Portugal,15.01,15.252,15.494
1786,Lisbon,Portugal,15.49,15.202,15.491
1787,Lisbon,Portugal,15.55,15.322,15.509
1788,Lisbon,Portugal,16.04,15.478,15.55
1789,Lisbon,Portugal,14.82,15.382,15.454
1790,Lisbon,Portugal,15.54,15.488,15.37
1791,Lisbon,Portugal,15.6,15.51,15.356
1792,Lisbon,Portugal,15.62,15.524,15.423
1793,Lisbon,Portugal,15.65,15.446,15.462
1794,Lisbon,Portugal,15.41,15.564,15.473
1795,Lisbon,Portugal,15.73,15.602,15.545
1796,Lisbon,Portugal,15.44,15.57,15.54
1797,Lisbon,Portugal,15.22,15.49,15.507
1798,Lisbon,Portugal,15.65,15.49,15.468
1799,Lisbon,Portugal,15.28,15.464,15.514
1800,Lisbon,Portugal,16.04,15.526,15.564
1801,Lisbon,Portugal,15.8,15.598,15.584
1802,Lisbon,Portugal,15.94,15.742,15.616
1803,Lisbon,Portugal,15.7,15.752,15.621
1804,Lisbon,Portugal,16.15,15.926,15.695
1805,Lisbon,Portugal,15.44,15.806,15.666
1806,Lisbon,Portugal,15.73,15.792,15.695
1807,Lisbon,Portugal,15.15,15.634,15.688
1808,Lisbon,Portugal,14.64,15.422,15.587
1809,Lisbon,Portugal,14.58,15.108,15.517
1810,Lisbon,Portugal,14.21,14.862,15.334
1811,Lisbon,Portugal,14.48,14.612,15.202
1812,Lisbon,Portugal,14.52,14.486,15.06
1813,Lisbon,Portugal,14.72,14.502,14.962
1814,Lisbon,Portugal,14.45,14.476,14.792
