year,city,country,avg_temp,5Y MA,10Y MA
1743,Madrid,Spain,6.65,,
1744,Madrid,Spain,12.41,,
1745,Madrid,Spain,5.46,,
1746,Madrid,Spain,,,
1747,Madrid,Spain,,8.173333333,
1748,Madrid,Spain,,8.935,
1749,Madrid,Spain,,5.46,
1750,Madrid,Spain,12.01,12.01,
1751,Madrid,Spain,12.71,12.36,
1752,Madrid,Spain,7.07,10.59666667,9.385
1753,Madrid,Spain,11.47,10.815,10.18833333
1754,Madrid,Spain,11.49,10.95,10.035
1755,Madrid,Spain,11.17,10.782,10.98666667
1756,Madrid,Spain,11.5,10.54,11.06
1757,Madrid,Spain,11.34,11.394,11.095
1758,Madrid,Spain,10.24,11.148,11
1759,Madrid,Spain,11.35,11.12,11.035
1760,Madrid,Spain,10.92,11.07,10.926
1761,Madrid,Spain,11.53,11.076,10.808
1762,Madrid,Spain,11.43,11.094,11.244
1763,Madrid,Spain,10.79,11.204,11.176
1764,Madrid,Spain,11.46,11.226,11.173
1765,Madrid,Spain,11.48,11.338,11.204
1766,Madrid,Spain,11.34,11.3,11.188
1767,Madrid,Spain,11.45,11.304,11.199
1768,Madrid,Spain,10.77,11.3,11.252
1769,Madrid,Spain,11.23,11.254,11.24
1770,Madrid,Spain,11.08,11.174,11.256
1771,Madrid,Spain,11.57,11.22,11.26
1772,Madrid,Spain,12.18,11.366,11.335
1773,Madrid,Spain,11.15,11.442,11.371
1774,Madrid,Spain,11.79,11.554,11.404
1775,Madrid,Spain,11.93,11.724,11.449
1776,Madrid,Spain,11.43,11.696,11.458
1777,Madrid,Spain,11.27,11.514,11.44
1778,Madrid,Spain,11.62,11.608,11.525
1779,Madrid,Spain,11.8,11.61,11.582
1780,Madrid,Spain,12.21,11.666,11.695
1781,Madrid,Spain,11.85,11.75,11.723
1782,Madrid,Spain,10.84,11.664,11.589
1783,Madrid,Spain,11.4,11.62,11.614
1784,Madrid,Spain,11.15,11.49,11.55
1785,Madrid,Spain,10.95,11.238,11.452
1786,Madrid,Spain,11.36,11.14,11.445
1787,Madrid,Spain,11.51,11.274,11.469
1788,Madrid,Spain,11.98,11.39,11.505
1789,Madrid,Spain,10.72,11.304,11.397
1790,Madrid,Spain,11.57,11.428,11.333
1791,Madrid,Spain,11.59,11.474,11.307
1792,Madrid,Spain,11.58,11.488,11.381
1793,Madrid,Spain,11.57,11.406,11.398
1794,Madrid,Spain,11.46,11.554,11.429
1795,Madrid,Spain,11.56,11.552,11.49
1796,Madrid,Spain,11.36,11.506,11.49
1797,Madrid,Spain,11.19,11.428,11.458
1798,Madrid,Spain,11.53,11.42,11.413
1799,Madrid,Spain,11.02,11.332,11.443
1800,Madrid,Spain,11.95,11.41,11.481
1801,Madrid,Spain,11.74,11.486,11.496
1802,Madrid,Spain,11.9,11.628,11.528
1803,Madrid,Spain,11.61,11.644,11.532
1804,Madrid,Spain,12.06,11.852,11.592
1805,Madrid,Spain,11.1,11.682,11.546
1806,Madrid,Spain,11.74,11.682,11.584
1807,Madrid,Spain,11.13,11.528,11.578
1808,Madrid,Spain,10.47,11.3,11.472
1809,Madrid,Spain,10.65,11.018,11.435
1810,Madrid,Spain,10.4,10.878,11.28
1811,Madrid,Spain,10.84,10.698,11.19
1812,Madrid,Spain,10.43,10.558,11.043
1813,Madrid,Spain,10.66,10.596,10.948
1814,Madrid,Spain,10.26,10.518,10.768
1815,Madrid,Spain,10.85,10.608,10.743
1816,Madrid,Spain,10.2,10.48,10.589
1817,Madrid,Spain,11.37,10.668,10.613
1818,Madrid,Spain,11.67,10.87,10.733
1819,Madrid,Spain,11.02,11.022,10.77
1820,Madrid,Spain,10.83,11.018,10.813
1821,Madrid,Spain,11.67,11.312,10.896
1822,Madrid,Spain,11.67,11.372,11.02
1823,Madrid,Spain,11.08,11.254,11.062
1824,Madrid,Spain,11.43,11.336,11.179
1825,Madrid,Spain,11.62,11.494,11.256
